SFH,popup,ssl_fs,rqst_url,url_of_anchor,web_trffc,url_length,age_of_domain,ip address,Result,predicted,t/f,,,,,,
-1,-1,-1,-1,-1,0,1,1,1,1,1,TRUE,,,,,,
1,-1,0,0,-1,0,-1,1,0,1,1,TRUE,,,,,,
-1,-1,1,-1,0,0,-1,1,0,1,-1,FALSE,,,TRUE,53,,
-1,-1,1,-1,-1,1,0,-1,0,1,-1,FALSE,,,FALSE,45,,
-1,0,-1,-1,1,1,0,-1,0,1,-1,FALSE,,,,,,
-1,-1,0,-1,-1,1,-1,-1,0,1,1,TRUE,,,,,,
1,-1,0,-1,1,0,1,1,0,1,-1,FALSE,,,,,,
-1,-1,-1,1,-1,0,-1,1,0,1,1,TRUE,,,,,,
0,0,-1,0,0,1,1,-1,1,1,1,TRUE,,,,,,
-1,0,0,0,-1,1,-1,-1,0,1,1,TRUE,,,,,,
0,-1,-1,0,1,1,0,-1,0,1,1,TRUE,,,,,,
1,-1,0,1,0,0,-1,1,0,1,-1,FALSE,,,,,,
0,-1,1,-1,-1,1,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,0,0,1,1,-1,-1,0,1,-1,FALSE,,,,,,
0,0,1,0,0,1,-1,-1,0,1,-1,FALSE,,,,,,
-1,-1,-1,-1,-1,-1,0,1,0,1,1,TRUE,,,,,,
1,0,0,-1,-1,0,0,-1,0,1,1,TRUE,,,,,,
-1,0,0,-1,-1,1,0,-1,0,1,1,TRUE,,,,,,
-1,-1,1,-1,-1,1,-1,-1,0,1,1,TRUE,,,,Phishing instance correctly classified,Phishing instance incorrectly classified(evaded),%accuracy
0,-1,-1,0,1,1,0,-1,0,1,1,TRUE,,,Before Adv_training(200 phish),0,200,0
-1,-1,1,0,-1,0,1,1,0,1,-1,FALSE,,,After Adv_training(98 phish),53,45,54
-1,-1,1,-1,-1,0,-1,-1,0,1,1,TRUE,,,,,,
1,-1,0,-1,-1,0,-1,1,0,1,1,TRUE,,,,,,
1,-1,0,1,0,0,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,1,1,-1,1,0,-1,0,1,-1,FALSE,,,,,,
-1,-1,0,0,-1,1,0,-1,0,1,1,TRUE,,,,,,
0,0,0,0,1,0,0,-1,0,1,-1,FALSE,,,,,,
-1,-1,0,-1,-1,0,0,1,0,1,1,TRUE,,,,,,
0,0,0,0,1,0,1,-1,1,1,-1,FALSE,,,,,,
-1,-1,0,1,-1,1,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,0,1,1,0,-1,-1,0,1,-1,FALSE,,,,,,
1,-1,1,-1,-1,0,-1,-1,0,1,1,TRUE,,,,,,
-1,0,1,-1,-1,-1,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,1,0,1,1,0,-1,0,1,-1,FALSE,,,,,,
-1,0,-1,-1,-1,1,-1,-1,0,1,1,TRUE,,,,,,
-1,0,-1,-1,-1,0,-1,1,0,1,1,TRUE,,,,,,
0,-1,-1,0,1,0,1,-1,0,1,1,TRUE,,,,,,
-1,-1,1,1,-1,1,-1,-1,0,1,-1,FALSE,,,,,,
-1,-1,-1,-1,-1,0,0,1,0,1,1,TRUE,,,,,,
-1,0,-1,0,-1,1,0,-1,0,1,1,TRUE,,,,,,
0,-1,-1,0,0,0,1,-1,1,1,1,TRUE,,,,,,
-1,-1,0,1,1,-1,-1,1,0,1,-1,FALSE,,,,,,
0,0,1,0,1,-1,0,1,1,1,-1,FALSE,,,,,,
-1,-1,0,1,1,-1,1,1,0,1,-1,FALSE,,,,,,
-1,0,-1,-1,-1,0,0,1,0,1,1,TRUE,,,,,,
-1,-1,-1,-1,-1,1,0,-1,0,1,1,TRUE,,,,,,
1,-1,0,1,0,-1,1,1,0,1,-1,FALSE,,,,,,
-1,0,-1,-1,-1,-1,-1,1,0,1,1,TRUE,,,,,,
-1,-1,0,-1,-1,0,1,-1,1,1,1,TRUE,,,,,,
-1,-1,0,-1,-1,0,-1,1,0,1,1,TRUE,,,,,,
-1,0,-1,-1,1,1,-1,-1,0,1,-1,FALSE,,,,,,
-1,0,-1,-1,-1,1,0,-1,0,1,1,TRUE,,,,,,
-1,0,0,-1,-1,0,0,-1,0,1,1,TRUE,,,,,,
-1,0,1,-1,0,-1,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,-1,1,-1,0,0,-1,0,1,-1,FALSE,,,,,,
-1,-1,-1,-1,-1,1,-1,-1,0,1,1,TRUE,,,,,,
-1,-1,1,-1,0,1,0,-1,0,1,-1,FALSE,,,,,,
1,0,0,1,-1,0,-1,1,0,1,-1,FALSE,,,,,,
1,-1,0,-1,-1,-1,1,1,0,1,0,FALSE,,,,,,
-1,-1,1,1,1,0,1,1,1,1,-1,FALSE,,,,,,
0,-1,1,0,0,1,-1,-1,0,1,-1,FALSE,,,,,,
-1,-1,-1,-1,-1,1,1,-1,0,1,1,TRUE,,,,,,
1,0,1,-1,-1,0,-1,-1,0,1,1,TRUE,,,,,,
0,-1,0,-1,-1,1,-1,-1,0,1,1,TRUE,,,,,,
-1,-1,0,1,-1,0,0,1,0,1,-1,FALSE,,,,,,
-1,0,-1,0,-1,1,-1,-1,0,1,1,TRUE,,,,,,
-1,-1,1,-1,-1,0,-1,1,0,1,-1,FALSE,,,,,,
0,-1,-1,0,1,1,-1,-1,0,1,1,TRUE,,,,,,
1,-1,1,-1,-1,0,-1,-1,0,1,1,TRUE,,,,,,
1,-1,0,-1,-1,-1,0,1,0,1,1,TRUE,,,,,,
0,-1,-1,0,0,-1,0,1,0,1,1,TRUE,,,,,,
-1,-1,0,1,1,-1,0,1,0,1,-1,FALSE,,,,,,
-1,0,0,1,1,1,-1,-1,0,1,-1,FALSE,,,,,,
-1,-1,0,-1,-1,1,0,-1,0,1,1,TRUE,,,,,,
1,-1,0,-1,-1,1,-1,1,0,1,1,TRUE,,,,,,
-1,0,1,-1,-1,-1,0,1,0,1,-1,FALSE,,,,,,
-1,0,-1,-1,1,1,0,-1,0,1,-1,FALSE,,,,,,
-1,-1,1,-1,-1,-1,1,1,1,1,0,FALSE,,,,,,
0,-1,-1,0,0,-1,0,1,0,1,1,TRUE,,,,,,
0,0,-1,0,1,0,1,-1,1,1,1,TRUE,,,,,,
0,-1,-1,0,0,1,0,-1,0,1,1,TRUE,,,,,,
1,-1,0,-1,-1,1,-1,-1,0,1,1,TRUE,,,,,,
0,-1,1,0,0,0,1,1,1,1,-1,FALSE,,,,,,
1,-1,0,0,-1,1,-1,-1,0,1,1,TRUE,,,,,,
-1,-1,1,-1,0,1,1,-1,0,1,-1,FALSE,,,,,,
-1,-1,1,0,-1,1,-1,1,0,1,-1,FALSE,,,,,,
1,-1,0,-1,-1,0,-1,1,0,1,1,TRUE,,,,,,
1,-1,0,-1,-1,0,0,-1,0,1,1,TRUE,,,,,,
1,-1,0,1,0,1,0,1,0,1,-1,FALSE,,,,,,
-1,-1,1,0,-1,1,1,-1,1,1,-1,FALSE,,,,,,
0,0,-1,0,1,-1,-1,1,0,1,1,TRUE,,,,,,
0,0,1,0,1,-1,1,1,0,1,-1,FALSE,,,,,,
-1,0,0,-1,-1,0,0,-1,0,1,1,TRUE,,,,,,
-1,0,-1,-1,-1,-1,1,1,0,1,1,TRUE,,,,,,
0,-1,-1,0,1,-1,0,1,0,1,1,TRUE,,,,,,
0,0,-1,0,1,0,-1,-1,0,1,1,TRUE,,,,,,
0,-1,1,-1,-1,1,-1,1,0,1,-1,FALSE,,,,,,
-1,-1,1,0,-1,0,1,1,1,1,-1,FALSE,,,,,,
